state,district,crop,year,season,area,production,yield
Assam,Jorhat,Coconut,1998,Whole Year,605,2212000,3656.2
Assam,Jorhat,Coconut,1999,Whole Year,610,4138000,6783.61
Assam,Jorhat,Coconut,2000,Whole Year,608,7087000,11656.25
Assam,Jorhat,Coconut,2001,Whole Year,548,6034000,11010.95
Assam,Jorhat,Coconut,2002,Whole Year,600,5894000,9823.33
Assam,Jorhat,Coconut,2003,Whole Year,606,3414000,5633.66
Assam,Jorhat,Coconut,2005,Whole Year,607,2662000,4385.5
Assam,Jorhat,Coconut,2006,Whole Year,569,2257000,3966.61
Assam,Jorhat,Coconut,2007,Whole Year,345,3122000,9049.28
Assam,Jorhat,Coconut,2008,Whole Year,345,1425000,4130.43
Assam,Jorhat,Coconut,2009,Whole Year,317,3089000,9744.48
Assam,Jorhat,Coconut,2010,Whole Year,357,3771000,10563.03
Assam,Jorhat,Coconut,2011,Whole Year,407,6525000,16031.94
Assam,Jorhat,Coconut,2012,Whole Year,404,4278000,10589.11
Assam,Jorhat,Coconut,2013,Whole Year,474,3074000,6485.23
Assam,Jorhat,Coconut,2014,Whole Year,453,6667000,14717.44
Assam,Jorhat,Coconut,2015,Whole Year,456,5817000,12756.58
Assam,Jorhat,Coconut,2017,Whole Year,453,8296000,18313.47
Assam,Jorhat,Coconut,2018,Whole Year,463,8274000,17870.41
Assam,Jorhat,Coconut,2019,Whole Year,326,4520000,13865.03
Assam,Kamrup,Coconut,1997,Whole Year,1866,12892000,6908.9
Assam,Kamrup,Coconut,1998,Whole Year,1875,18578000,9908.27
Assam,Kamrup,Coconut,1999,Whole Year,1973,14462000,7329.95
Assam,Kamrup,Coconut,2000,Whole Year,2072,15504000,7482.63
Assam,Kamrup,Coconut,2001,Whole Year,2091,23123000,11058.35
Assam,Kamrup,Coconut,2002,Whole Year,2101,22559000,10737.27
Assam,Kamrup,Coconut,2003,Whole Year,2343,19029000,8121.64
Assam,Kamrup,Coconut,2006,Whole Year,1479,13771000,9311.02
Assam,Kamrup,Coconut,2007,Whole Year,1466,13951000,9516.37
Assam,Kamrup,Coconut,2008,Whole Year,1534,22786000,14853.98
Assam,Kamrup,Coconut,2009,Whole Year,1548,7273000,4698.32
Assam,Kamrup,Coconut,2010,Whole Year,1517,14947000,9853
Assam,Kamrup,Coconut,2011,Whole Year,1430,8496000,5941.26
Assam,Kamrup,Coconut,2012,Whole Year,1435,7425000,5174.22
Assam,Kamrup,Coconut,2013,Whole Year,1253,12547000,10013.57
Assam,Kamrup,Coconut,2014,Whole Year,1228,10707000,8719.06
Assam,Kamrup,Coconut,2015,Whole Year,1233,11281000,9149.23
Assam,Kamrup,Coconut,2016,Whole Year,1240,13173000,10623.39
